DATE,XTEXVA01GBM664S
01/01/2000,14662267837
01/02/2000,14695476985
01/03/2000,15007761617
01/04/2000,15074605598
01/05/2000,15124561723
01/06/2000,15660979197
01/07/2000,15319685534
01/08/2000,15887287889
01/09/2000,15858441066
01/10/2000,15957206643
01/11/2000,16247957837
01/12/2000,16363144594
01/01/2001,16652242795
01/02/2001,16654508720
01/03/2001,16015626337
01/04/2001,15681610478
01/05/2001,15638959729
01/06/2001,16154122030
01/07/2001,15620923286
01/08/2001,15680913097
01/09/2001,15665835683
01/10/2001,15801524430
01/11/2001,15320900320
01/12/2001,14861072404
01/01/2002,15437405297
01/02/2002,15489582997
01/03/2002,15723412503
01/04/2002,15481263940
01/05/2002,16520165384
01/06/2002,15891418154
01/07/2002,15833193717
01/08/2002,15098959411
01/09/2002,15525437369
01/10/2002,15025487871
01/11/2002,14902638005
01/12/2002,14894791311
01/01/2003,15612607075
01/02/2003,15146631499
01/03/2003,15468252994
01/04/2003,16414206423
01/05/2003,15279056189
01/06/2003,14398657865
01/07/2003,15532434504
01/08/2003,16124365841
01/09/2003,15383019713
01/10/2003,15563408786
01/11/2003,15418331487
01/12/2003,15517894323
01/01/2004,15015460369
01/02/2004,15309545798
01/03/2004,15189185018
01/04/2004,15320391318
01/05/2004,15378686925
01/06/2004,15520627657
01/07/2004,15683773499
01/08/2004,15690245009
01/09/2004,16084581702
01/10/2004,16108631230
01/11/2004,16374779631
01/12/2004,16652303222
01/01/2005,16313617036
01/02/2005,16127423886
01/03/2005,16247209186
01/04/2005,16743323164
01/05/2005,16957689646
01/06/2005,17844529008
01/07/2005,17765070705
01/08/2005,18050274595
01/09/2005,18639273185
01/10/2005,19057378119
01/11/2005,18963128613
01/12/2005,19544246997
01/01/2006,20224638902
01/02/2006,21556642750
01/03/2006,22806126320
01/04/2006,23243048651
01/05/2006,23010103046
01/06/2006,22417356802
01/07/2006,18296699631
01/08/2006,18358271661
01/09/2006,18316352144
01/10/2006,17878560177
01/11/2006,18201712870
01/12/2006,18204438398
01/01/2007,17723224415
01/02/2007,17637631928
01/03/2007,17829277928
01/04/2007,18167652197
01/05/2007,17905800435
01/06/2007,18389218824
01/07/2007,18076128669
01/08/2007,18316645097
01/09/2007,18519328649
01/10/2007,18601134209
01/11/2007,19203293322
01/12/2007,19171306773
01/01/2008,19784526597
01/02/2008,20139952126
01/03/2008,20118045528
01/04/2008,20346650932
01/05/2008,20949617598
01/06/2008,21491203061
01/07/2008,21423379474
01/08/2008,21147912032
01/09/2008,20837178661
01/10/2008,20194307632
01/11/2008,19574868890
01/12/2008,19162710945
01/01/2009,18839518443
01/02/2009,18696436319
01/03/2009,18355086517
01/04/2009,18508737197
01/05/2009,18067645833
01/06/2009,18035343601
01/07/2009,18437935484
01/08/2009,18640511567
01/09/2009,19075833818
01/10/2009,19673177611
01/11/2009,19716473109
01/12/2009,19972518466
01/01/2010,19784130710
01/02/2010,20790285442
01/03/2010,20776021466
01/04/2010,21051982403
01/05/2010,21410455155
01/06/2010,22288251961
01/07/2010,21988572327
01/08/2010,21983120456
01/09/2010,22144819539
01/10/2010,22348047061
01/11/2010,22734840680
01/12/2010,23143443596
01/01/2011,24462274711
01/02/2011,24419174749
01/03/2011,23592138588
01/04/2011,24159794648
01/05/2011,24324080527
01/06/2011,24175538120
01/07/2011,24505762788
01/08/2011,24370199769
01/09/2011,24392154554
01/10/2011,25283503277
01/11/2011,24864409654
01/12/2011,24863041290
01/01/2012,24905185011
01/02/2012,24585169978
01/03/2012,25011665264
01/04/2012,23948428458
01/05/2012,24593818234
01/06/2012,23722053059
01/07/2012,24876011242
01/08/2012,24527329638
01/09/2012,24466983880
01/10/2012,23504100091
01/11/2012,23905596006
01/12/2012,24349259508
01/01/2013,24576688589
01/02/2013,24529842779
01/03/2013,24776219430
01/04/2013,24164435517
01/05/2013,24572095465
01/06/2013,25595325058
01/07/2013,24568239972
01/08/2013,24900739333
01/09/2013,24210772780
01/10/2013,24057206513
01/11/2013,24244923537
01/12/2013,24346393587
01/01/2014,23967604350
01/02/2014,23965857648
01/03/2014,24391040697
01/04/2014,23722874213
01/05/2014,23741285429
01/06/2014,23137096051
01/07/2014,23512329945
01/08/2014,23048277569
01/09/2014,23406533738
01/10/2014,23431773399
01/11/2014,24006404787
01/12/2014,23616548491
01/01/2015,23284066965
01/02/2015,22805397503
01/03/2015,22913806759
01/04/2015,23513383743
01/05/2015,24158521179
01/06/2015,23567194574
01/07/2015,22220601736
01/08/2015,22764901926
01/09/2015,22984196864
01/10/2015,22763925308
01/11/2015,22472012086
01/12/2015,22388041303
01/01/2016,22750566315
01/02/2016,23057983396
01/03/2016,23278688383
01/04/2016,24269994705
01/05/2016,23485883071
01/06/2016,23995598545
01/07/2016,24224369062
01/08/2016,24610226646
01/09/2016,24597676616
01/10/2016,25594861410
01/11/2016,25982673944
01/12/2016,26613091056
01/01/2017,26712968441
01/02/2017,26974929729
01/03/2017,27130158704
01/04/2017,27569869558
01/05/2017,27175483447
01/06/2017,26892870839
01/07/2017,27276275508
01/08/2017,27438605431
01/09/2017,28039679190
01/10/2017,27726859703
01/11/2017,28114471816
01/12/2017,28086822680
01/01/2018,28718117945
01/02/2018,28064910625
01/03/2018,27925942095
01/04/2018,27285127629
01/05/2018,27728016952
01/06/2018,28703489188
01/07/2018,28782178043
01/08/2018,28867492744
01/09/2018,29233073117
01/10/2018,28664283180
01/11/2018,28467444154
01/12/2018,27835812362
01/01/2019,29041123533
01/02/2019,29316622645
01/03/2019,29788650874
01/04/2019,27513942131
01/05/2019,27821412378
01/06/2019,28294536937
01/07/2019,28160242996
01/08/2019,28604758367
01/09/2019,28805292168
01/10/2019,28191038424
01/11/2019,26888139620
01/12/2019,27636612821
01/01/2020,27771485567
01/02/2020,26775048674
01/03/2020,24765028785
01/04/2020,18819419763
01/05/2020,20105478245
01/06/2020,22418060473
01/07/2020,23515780737
01/08/2020,24828466052
01/09/2020,24575084076
01/10/2020,25751808776
01/11/2020,26692672304
01/12/2020,26648514717
01/01/2021,21524489505
01/02/2021,23700162156
01/03/2021,25695797936
01/04/2021,25378479840
01/05/2021,26472486438
01/06/2021,25982015552
01/07/2021,26242004501
01/08/2021,25769994361
01/09/2021,26240795773
01/10/2021,27871848376
01/11/2021,27856189379
01/12/2021,28542980731
01/01/2022,27294085591
01/02/2022,28432627690
01/03/2022,29090413502
01/04/2022,30403023722
01/05/2022,31258659546
01/06/2022,30625690662
01/07/2022,32393487886
01/08/2022,32888658294
01/09/2022,32494209551
01/10/2022,31950569847
01/11/2022,32263978970
01/12/2022,32022655501
