DATE,INTGSBGBM193N
01/01/2000,5.8227
01/02/2000,5.6347
01/03/2000,5.3707
01/04/2000,5.3213
01/05/2000,5.4033
01/06/2000,5.2097
01/07/2000,5.2388
01/08/2000,5.3312
01/09/2000,5.3873
01/10/2000,5.2179
01/11/2000,5.0983
01/12/2000,4.9118
01/01/2001,4.8471
01/02/2001,4.8248
01/03/2001,4.703
01/04/2001,4.9468
01/05/2001,5.1153
01/06/2001,5.1951
01/07/2001,5.2037
01/08/2001,4.9854
01/09/2001,4.9876
01/10/2001,4.8253
01/11/2001,4.6271
01/12/2001,4.8928
01/01/2002,4.9171
01/02/2002,4.9251
01/03/2002,5.2202
01/04/2002,5.2331
01/05/2002,5.2689
01/06/2002,5.099
01/07/2002,5.0027
01/08/2002,4.746
01/09/2002,4.5006
01/10/2002,4.616
01/11/2002,4.6378
01/12/2002,4.5644
01/01/2003,4.3899
01/02/2003,4.2131
01/03/2003,4.3243
01/04/2003,4.4663
01/05/2003,4.2197
01/06/2003,4.1127
01/07/2003,4.4078
01/08/2003,4.604
01/09/2003,4.7132
01/10/2003,4.9071
01/11/2003,5.065
01/12/2003,4.896
01/01/2004,4.7875
01/02/2004,4.8056
01/03/2004,4.7088
01/04/2004,4.957
01/05/2004,5.1118
01/06/2004,5.2
01/07/2004,5.1083
01/08/2004,5.0071
01/09/2004,4.9109
01/10/2004,4.7683
01/11/2004,4.6903
01/12/2004,4.5316
01/01/2005,4.5419
01/02/2005,4.5884
01/03/2005,4.796
01/04/2005,4.6218
01/05/2005,4.4173
01/06/2005,4.2847
01/07/2005,4.3011
01/08/2005,4.3249
01/09/2005,4.2109
01/10/2005,4.3482
01/11/2005,4.3129
01/12/2005,4.2186
01/01/2006,4.0752
01/02/2006,4.1543
01/03/2006,4.3177
01/04/2006,4.5177
01/05/2006,4.6488
01/06/2006,4.6645
01/07/2006,4.656
01/08/2006,4.6535
01/09/2006,4.5522
01/10/2006,4.6155
01/11/2006,4.5452
01/12/2006,4.6195
01/01/2007,4.8694
01/02/2007,4.896
01/03/2007,4.8194
01/04/2007,5.0439
01/05/2007,5.1458
01/06/2007,5.4321
01/07/2007,5.4084
01/08/2007,5.1499
01/09/2007,4.9928
01/10/2007,4.9576
01/11/2007,4.7263
01/12/2007,4.6937
01/01/2008,4.4925
01/02/2008,4.6234
01/03/2008,4.445
01/04/2008,4.6432
01/05/2008,4.8683
01/06/2008,5.2103
01/07/2008,5.0494
01/08/2008,4.7267
01/09/2008,4.5701
01/10/2008,4.5789
01/11/2008,4.2571
01/12/2008,3.6238
01/01/2009,3.6699
01/02/2009,3.6899
01/03/2009,3.2497
01/04/2009,3.4072
01/05/2009,3.6206
01/06/2009,3.7221
01/07/2009,3.8238
01/08/2009,3.7142
01/09/2009,3.6566
01/10/2009,3.5699
01/11/2009,3.7592
01/12/2009,3.8871
01/01/2010,4.0025
01/02/2010,4.0624
01/03/2010,4.0915
01/04/2010,4.1007
01/05/2010,3.7772
01/06/2010,3.6007
01/07/2010,3.5087
01/08/2010,3.233
01/09/2010,3.1271
01/10/2010,3.0685
01/11/2010,3.311
01/12/2010,3.6098
01/01/2011,3.7273
01/02/2011,3.8799
01/03/2011,3.7386
01/04/2011,3.7619
01/05/2011,3.5053
01/06/2011,3.4144
01/07/2011,3.3137
01/08/2011,2.7833
01/09/2011,2.504
01/10/2011,2.529
01/11/2011,2.2917
01/12/2011,2.1828
01/01/2012,2.1104
01/02/2012,2.2191
01/03/2012,2.323
01/04/2012,2.2117
01/05/2012,1.9416
01/06/2012,1.7698
01/07/2012,1.6523
01/08/2012,1.6735
01/09/2012,1.7222
01/10/2012,1.7721
01/11/2012,1.7741
01/12/2012,1.8467
01/01/2013,2.0795
01/02/2013,2.1781
01/03/2013,1.9768
01/04/2013,1.7824
01/05/2013,1.9462
01/06/2013,2.3063
01/07/2013,2.471
01/08/2013,2.7088
01/09/2013,2.8443
01/10/2013,2.6784
01/11/2013,2.7598
01/12/2013,2.9458
01/01/2014,2.91
01/02/2014,2.8147
01/03/2014,2.7837
01/04/2014,2.7417
01/05/2014,2.6989
01/06/2014,2.7842
01/07/2014,2.7343
01/08/2014,2.5347
01/09/2014,2.4919
01/10/2014,2.2469
01/11/2014,2.1593
01/12/2014,1.9287
01/01/2015,1.589
01/02/2015,1.7365
01/03/2015,1.7941
01/04/2015,1.755
01/05/2015,2.0243
01/06/2015,2.1696
01/07/2015,2.1353
01/08/2015,1.9799
01/09/2015,1.8814
01/10/2015,1.846
01/11/2015,1.9779
01/12/2015,1.9234
01/01/2016,1.7833
01/02/2016,1.5032
01/03/2016,1.5434
01/04/2016,1.5688
01/05/2016,1.5366
01/06/2016,1.3105
01/07/2016,0.9569
01/08/2016,0.7421
01/09/2016,0.8243
01/10/2016,1.078
01/11/2016,1.3818
01/12/2016,1.4336
01/01/2017,1.4203
01/02/2017,1.3058
01/03/2017,1.194
01/04/2017,1.0789
01/05/2017,1.1175
01/06/2017,1.0846
01/07/2017,1.2713
01/08/2017,1.1241
01/09/2017,1.2436
01/10/2017,1.3816
01/11/2017,1.3299
01/12/2017,1.2781
01/01/2018,1.3931
01/02/2018,1.6034
01/03/2018,1.508
01/04/2018,1.5108
01/05/2018,1.5016
01/06/2018,1.4229
01/07/2018,1.3739
01/08/2018,1.3991
01/09/2018,1.5023
01/10/2018,1.5462
01/11/2018,1.4541
01/12/2018,1.3125
01/01/2019,1.3221
01/02/2019,1.239
01/03/2019,1.19
01/04/2019,1.1906
01/05/2019,1.13
01/06/2019,0.919
01/07/2019,0.8304
01/08/2019,0.5776
01/09/2019,0.5981
01/10/2019,0.6373
01/11/2019,0.765
01/12/2019,0.8308
01/01/2020,0.7235
01/02/2020,0.633
01/03/2020,0.4609
01/04/2020,0.3577
01/05/2020,0.2743
01/06/2020,0.278
01/07/2020,0.2094
01/08/2020,0.2717
01/09/2020,0.273
01/10/2020,0.3058
01/11/2020,0.3836
01/12/2020,0.3224
01/01/2021,0.3672
01/02/2021,0.6222
01/03/2021,0.8456
01/04/2021,0.8515
01/05/2021,0.9058
01/06/2021,0.8549
01/07/2021,0.6979
01/08/2021,0.644
01/09/2021,0.8023
01/10/2021,1.083
01/11/2021,0.9394
01/12/2021,0.8375
01/01/2022,1.2051
01/02/2022,1.4891
01/03/2022,1.5457
01/04/2022,1.8362
01/05/2022,1.9069
01/06/2022,2.3824
01/07/2022,2.1454
01/08/2022,2.3278
01/09/2022,3.5007
01/10/2022,4.1096
01/11/2022,3.4171
01/12/2022,3.5015
