DATE,LMUNRLTTGBM647S
01/01/2000,1162900
01/02/2000,1152200
01/03/2000,1144000
01/04/2000,1113300
01/05/2000,1104700
01/06/2000,1093600
01/07/2000,1074700
01/08/2000,1060400
01/09/2000,1044800
01/10/2000,1044700
01/11/2000,1035600
01/12/2000,1029900
01/01/2001,1008600
01/02/2001,999500
01/03/2001,990900
01/04/2001,975500
01/05/2001,974900
01/06/2001,961600
01/07/2001,951800
01/08/2001,951200
01/09/2001,946100
01/10/2001,953000
01/11/2001,959700
01/12/2001,966500
01/01/2002,958200
01/02/2002,951900
01/03/2002,947500
01/04/2002,954900
01/05/2002,947100
01/06/2002,949700
01/07/2002,950000
01/08/2002,945700
01/09/2002,943700
01/10/2002,939500
01/11/2002,936400
01/12/2002,935200
01/01/2003,939300
01/02/2003,942500
01/03/2003,941200
01/04/2003,936100
01/05/2003,947200
01/06/2003,947100
01/07/2003,940200
01/08/2003,933300
01/09/2003,928700
01/10/2003,922000
01/11/2003,913000
01/12/2003,906000
01/01/2004,899200
01/02/2004,892100
01/03/2004,881000
01/04/2004,871900
01/05/2004,858100
01/06/2004,846900
01/07/2004,836400
01/08/2004,834500
01/09/2004,832900
01/10/2004,831500
01/11/2004,829500
01/12/2004,826100
01/01/2005,823700
01/02/2005,821700
01/03/2005,830100
01/04/2005,840300
01/05/2005,854100
01/06/2005,863200
01/07/2005,866700
01/08/2005,868200
01/09/2005,876100
01/10/2005,888200
01/11/2005,900900
01/12/2005,908100
01/01/2006,913500
01/02/2006,923800
01/03/2006,935800
01/04/2006,945400
01/05/2006,950800
01/06/2006,955700
01/07/2006,956700
01/08/2006,951400
01/09/2006,958100
01/10/2006,958500
01/11/2006,949200
01/12/2006,939900
01/01/2007,925600
01/02/2007,911500
01/03/2007,896800
01/04/2007,878200
01/05/2007,870800
01/06/2007,861900
01/07/2007,856300
01/08/2007,851300
01/09/2007,844500
01/10/2007,836300
01/11/2007,825200
01/12/2007,815200
01/01/2008,792000
01/02/2008,778400
01/03/2008,778500
01/04/2008,792400
01/05/2008,814700
01/06/2008,848700
01/07/2008,882700
01/08/2008,924900
01/09/2008,968600
01/10/2008,1012300
01/11/2008,1100400
01/12/2008,1179400
01/01/2009,1240800
01/02/2009,1383600
01/03/2009,1457100
01/04/2009,1510800
01/05/2009,1549400
01/06/2009,1571900
01/07/2009,1585800
01/08/2009,1600800
01/09/2009,1609700
01/10/2009,1618500
01/11/2009,1610400
01/12/2009,1593400
01/01/2010,1609000
01/02/2010,1576500
01/03/2010,1548600
01/04/2010,1526100
01/05/2010,1494800
01/06/2010,1471300
01/07/2010,1458200
01/08/2010,1457300
01/09/2010,1457100
01/10/2010,1451000
01/11/2010,1452400
01/12/2010,1454000
01/01/2011,1461800
01/02/2011,1458500
01/03/2011,1463500
01/04/2011,1484700
01/05/2011,1500400
01/06/2011,1519500
01/07/2011,1555100
01/08/2011,1576700
01/09/2011,1596000
01/10/2011,1595700
01/11/2011,1599200
01/12/2011,1601800
